chr	arm	band	ISCN.top	ISCN.bot	bases.top	bases.bot	stain	cM.top	cM.bot	n.markers	p.markers
2	q	14.2	-	-	118101002	121601002	gneg	-	-	-	-
2	q	14.3	-	-	121601002	129101002	gpos	-	-	-	-
2	q	21.1	-	-	129101002	131701002	gneg	-	-	-	-
2	q	21.2	-	-	131701002	134301002	gpos	-	-	-	-
2	q	21.3	-	-	134301002	136101002	gneg	-	-	-	-
2	q	22.1	-	-	136101002	141501002	gpos	-	-	-	-
2	q	22.2	-	-	141501002	143401002	gneg	-	-	-	-
2	q	22.3	-	-	143401002	147901002	gpos	-	-	-	-
2	q	23.1	-	-	147901002	149001002	gneg	-	-	-	-
2	q	23.2	-	-	149001002	149601002	gpos	-	-	-	-
2	q	23.3	-	-	149601002	154001002	gneg	-	-	-	-
2	q	24.1	-	-	154001002	158901002	gpos	-	-	-	-
2	q	24.2	-	-	158901002	162901002	gneg	-	-	-	-
2	q	24.3	-	-	162901002	168901002	gpos	-	-	-	-
2	q	31.1	-	-	168901002	177101002	gneg	-	-	-	-
2	q	31.2	-	-	177101002	179701002	gpos	-	-	-	-
2	q	31.3	-	-	179701002	182101002	gneg	-	-	-	-
2	q	32.1	-	-	182101002	188501002	gpos	-	-	-	-
2	q	32.2	-	-	188501002	191101002	gneg	-	-	-	-
2	q	32.3	-	-	191101002	196601002	gpos	-	-	-	-
2	q	33.1	-	-	196601002	202501002	gneg	-	-	-	-
2	q	33.2	-	-	202501002	204101002	gpos	-	-	-	-
2	q	33.3	-	-	204101002	208201002	gneg	-	-	-	-
2	q	34	-	-	208201002	214501002	gpos	-	-	-	-
2	q	35	-	-	214501002	220701002	gneg	-	-	-	-
2	q	36.1	-	-	220701002	224301002	gpos	-	-	-	-
2	q	36.2	-	-	224301002	225201002	gneg	-	-	-	-
2	q	36.3	-	-	225201002	230101002	gpos	-	-	-	-
2	q	37.1	-	-	230101002	234701002	gneg	-	-	-	-
2	q	37.2	-	-	234701002	236401002	gpos	-	-	-	-
2	q	37.3	-	-	236401002	242194531	gneg	-	-	-	-
3	p	26.3	-	-	1002	2801002	gpos	-	-	-	-
3	p	26.2	-	-	2801002	4001002	gneg	-	-	-	-
3	p	26.1	-	-	4001002	8101002	gpos	-	-	-	-
3	p	25.3	-	-	8101002	11601002	gneg	-	-	-	-
3	p	25.2	-	-	11601002	13201002	gpos	-	-	-	-
3	p	25.1	-	-	13201002	16301002	gneg	-	-	-	-
3	p	24.3	-	-	16301002	23801002	gpos	-	-	-	-
3	p	24.2	-	-	23801002	26301002	gneg	-	-	-	-
3	p	24.1	-	-	26301002	30801002	gpos	-	-	-	-
3	p	23	-	-	30801002	32001002	gneg	-	-	-	-
3	p	22.3	-	-	32001002	36401002	gpos	-	-	-	-
3	p	22.2	-	-	36401002	39301002	gneg	-	-	-	-
3	p	22.1	-	-	39301002	43601002	gpos	-	-	-	-
3	p	21.33	-	-	43601002	44101002	gneg	-	-	-	-
3	p	21.32	-	-	44101002	44201002	gpos	-	-	-	-
3	p	21.31	-	-	44201002	50601002	gneg	-	-	-	-
3	p	21.2	-	-	50601002	52301002	gpos	-	-	-	-
3	p	21.1	-	-	52301002	54401002	gneg	-	-	-	-
3	p	14.3	-	-	54401002	58601002	gpos	-	-	-	-
3	p	14.2	-	-	58601002	63801002	gneg	-	-	-	-
3	p	14.1	-	-	63801002	69701002	gpos	-	-	-	-
3	p	13	-	-	69701002	74101002	gneg	-	-	-	-
3	p	12.3	-	-	74101002	79801002	gpos	-	-	-	-
3	p	12.2	-	-	79801002	83501002	gneg	-	-	-	-
3	p	12.1	-	-	83501002	87101002	gpos	-	-	-	-
3	p	11.2	-	-	87101002	87801002	gneg	-	-	-	-
3	p	11.1	-	-	87801002	90901002	acen	-	-	-	-
3	q	11.1	-	-	90901002	94001002	acen	-	-	-	-
3	q	11.2	-	-	94001002	98601002	gvar	-	-	-	-
3	q	12.1	-	-	98601002	100301002	gneg	-	-	-	-
3	q	12.2	-	-	100301002	101201002	gpos	-	-	-	-
3	q	12.3	-	-	101201002	103101002	gneg	-	-	-	-
3	q	13.11	-	-	103101002	106501002	gpos	-	-	-	-
3	q	13.12	-	-	106501002	108201002	gneg	-	-	-	-
3	q	13.13	-	-	108201002	111601002	gpos	-	-	-	-
3	q	13.2	-	-	111601002	113701002	gneg	-	-	-	-
3	q	13.31	-	-	113701002	117601002	gpos	-	-	-	-
3	q	13.32	-	-	117601002	119301002	gneg	-	-	-	-
3	q	13.33	-	-	119301002	122201002	gpos	-	-	-	-
3	q	21.1	-	-	122201002	124101002	gneg	-	-	-	-
3	q	21.2	-	-	124101002	126101002	gpos	-	-	-	-
3	q	21.3	-	-	126101002	129501002	gneg	-	-	-	-
3	q	22.1	-	-	129501002	134001002	gpos	-	-	-	-
3	q	22.2	-	-	134001002	136001002	gneg	-	-	-	-
3	q	22.3	-	-	136001002	139001002	gpos	-	-	-	-
3	q	23	-	-	139001002	143101002	gneg	-	-	-	-
3	q	24	-	-	143101002	149201002	gpos	-	-	-	-
3	q	25.1	-	-	149201002	152301002	gneg	-	-	-	-
3	q	25.2	-	-	152301002	155301002	gpos	-	-	-	-
3	q	25.31	-	-	155301002	157301002	gneg	-	-	-	-
3	q	25.32	-	-	157301002	159301002	gpos	-	-	-	-
3	q	25.33	-	-	159301002	161001002	gneg	-	-	-	-
3	q	26.1	-	-	161001002	167901002	gpos	-	-	-	-
3	q	26.2	-	-	167901002	171201002	gneg	-	-	-	-
3	q	26.31	-	-	171201002	176001002	gpos	-	-	-	-
3	q	26.32	-	-	176001002	179301002	gneg	-	-	-	-
3	q	26.33	-	-	179301002	183001002	gpos	-	-	-	-
3	q	27.1	-	-	183001002	184801002	gneg	-	-	-	-
3	q	27.2	-	-	184801002	186301002	gpos	-	-	-	-
3	q	27.3	-	-	186301002	188201002	gneg	-	-	-	-
3	q	28	-	-	188201002	192601002	gpos	-	-	-	-
3	q	29	-	-	192601002	198296561	gneg	-	-	-	-
4	p	16.3	-	-	1002	4501002	gneg	-	-	-	-
4	p	16.2	-	-	4501002	6001002	gpos	-	-	-	-
4	p	16.1	-	-	6001002	11301002	gneg	-	-	-	-
4	p	15.33	-	-	11301002	15001002	gpos	-	-	-	-
4	p	15.32	-	-	15001002	17701002	gneg	-	-	-	-
4	p	15.31	-	-	17701002	21301002	gpos	-	-	-	-
4	p	15.2	-	-	21301002	27701002	gneg	-	-	-	-
4	p	15.1	-	-	27701002	35801002	gpos	-	-	-	-
4	p	14	-	-	35801002	41201002	gneg	-	-	-	-
4	p	13	-	-	41201002	44601002	gpos	-	-	-	-
4	p	12	-	-	44601002	48201002	gneg	-	-	-	-
4	p	11	-	-	48201002	50001002	acen	-	-	-	-
4	q	11	-	-	50001002	51801002	acen	-	-	-	-
4	q	12	-	-	51801002	58501002	gneg	-	-	-	-
4	q	13.1	-	-	58501002	65501002	gpos	-	-	-	-
4	q	13.2	-	-	65501002	69401002	gneg	-	-	-	-
4	q	13.3	-	-	69401002	75301002	gpos	-	-	-	-
4	q	21.1	-	-	75301002	78001002	gneg	-	-	-	-
4	q	21.21	-	-	78001002	81501002	gpos	-	-	-	-
4	q	21.22	-	-	81501002	83201002	gneg	-	-	-	-
4	q	21.23	-	-	83201002	86001002	gpos	-	-	-	-
4	q	21.3	-	-	86001002	87101002	gneg	-	-	-	-
4	q	22.1	-	-	87101002	92801002	gpos	-	-	-	-
4	q	22.2	-	-	92801002	94201002	gneg	-	-	-	-
4	q	22.3	-	-	94201002	97901002	gpos	-	-	-	-
4	q	23	-	-	97901002	100101002	gneg	-	-	-	-
4	q	24	-	-	100101002	106701002	gpos	-	-	-	-
4	q	25	-	-	106701002	113201002	gneg	-	-	-	-
4	q	26	-	-	113201002	119901002	gpos	-	-	-	-
4	q	27	-	-	119901002	122801002	gneg	-	-	-	-
4	q	28.1	-	-	122801002	127901002	gpos	-	-	-	-
4	q	28.2	-	-	127901002	130101002	gneg	-	-	-	-
4	q	28.3	-	-	130101002	138501002	gpos	-	-	-	-
4	q	31.1	-	-	138501002	140601002	gneg	-	-	-	-
4	q	31.21	-	-	140601002	145901002	gpos	-	-	-	-
4	q	31.22	-	-	145901002	147501002	gneg	-	-	-	-
4	q	31.23	-	-	147501002	150201002	gpos	-	-	-	-
4	q	31.3	-	-	150201002	154601002	gneg	-	-	-	-
4	q	32.1	-	-	154601002	160801002	gpos	-	-	-	-
4	q	32.2	-	-	160801002	163601002	gneg	-	-	-	-
4	q	32.3	-	-	163601002	169201002	gpos	-	-	-	-
4	q	33	-	-	169201002	171001002	gneg	-	-	-	-
4	q	34.1	-	-	171001002	175401002	gpos	-	-	-	-
4	q	34.2	-	-	175401002	176601002	gneg	-	-	-	-
4	q	34.3	-	-	176601002	182301002	gpos	-	-	-	-
4	q	35.1	-	-	182301002	186201002	gneg	-	-	-	-
4	q	35.2	-	-	186201002	190215557	gpos	-	-	-	-
5	p	15.33	-	-	1002	4401002	gneg	-	-	-	-
5	p	15.32	-	-	4401002	6301002	gpos	-	-	-	-
5	p	15.31	-	-	6301002	9901002	gneg	-	-	-	-
5	p	15.2	-	-	9901002	15001002	gpos	-	-	-	-
5	p	15.1	-	-	15001002	18401002	gneg	-	-	-	-
5	p	14.3	-	-	18401002	23301002	gpos	-	-	-	-
5	p	14.2	-	-	23301002	24601002	gneg	-	-	-	-
5	p	14.1	-	-	24601002	28901002	gpos	-	-	-	-
5	p	13.3	-	-	28901002	33801002	gneg	-	-	-	-
5	p	13.2	-	-	33801002	38401002	gpos	-	-	-	-
5	p	13.1	-	-	38401002	42501002	gneg	-	-	-	-
5	p	12	-	-	42501002	46101002	gpos	-	-	-	-
5	p	11	-	-	46101002	48801002	acen	-	-	-	-
5	q	11.1	-	-	48801002	51401002	acen	-	-	-	-
5	q	11.2	-	-	51401002	59601002	gneg	-	-	-	-
5	q	12.1	-	-	59601002	63601002	gpos	-	-	-	-
5	q	12.2	-	-	63601002	63901002	gneg	-	-	-	-
5	q	12.3	-	-	63901002	67401002	gpos	-	-	-	-
5	q	13.1	-	-	67401002	69101002	gneg	-	-	-	-
5	q	13.2	-	-	69101002	74001002	gpos	-	-	-	-
5	q	13.3	-	-	74001002	77601002	gneg	-	-	-	-
5	q	14.1	-	-	77601002	82101002	gpos	-	-	-	-
5	q	14.2	-	-	82101002	83501002	gneg	-	-	-	-
5	q	14.3	-	-	83501002	93001002	gpos	-	-	-	-
5	q	15	-	-	93001002	98901002	gneg	-	-	-	-
5	q	21.1	-	-	98901002	103401002	gpos	-	-	-	-
5	q	21.2	-	-	103401002	105101002	gneg	-	-	-	-
5	q	21.3	-	-	105101002	110201002	gpos	-	-	-	-
5	q	22.1	-	-	110201002	112201002	gneg	-	-	-	-
5	q	22.2	-	-	112201002	113801002	gpos	-	-	-	-
5	q	22.3	-	-	113801002	115901002	gneg	-	-	-	-
5	q	23.1	-	-	115901002	122101002	gpos	-	-	-	-
5	q	23.2	-	-	122101002	127901002	gneg	-	-	-	-
5	q	23.3	-	-	127901002	131201002	gpos	-	-	-	-
5	q	31.1	-	-	131201002	136901002	gneg	-	-	-	-
5	q	31.2	-	-	136901002	140101002	gpos	-	-	-	-
5	q	31.3	-	-	140101002	145101002	gneg	-	-	-	-
5	q	32	-	-	145101002	150401002	gpos	-	-	-	-
5	q	33.1	-	-	150401002	153301002	gneg	-	-	-	-
5	q	33.2	-	-	153301002	156301002	gpos	-	-	-	-
5	q	33.3	-	-	156301002	160501002	gneg	-	-	-	-
5	q	34	-	-	160501002	169001002	gpos	-	-	-	-
5	q	35.1	-	-	169001002	173301002	gneg	-	-	-	-
5	q	35.2	-	-	173301002	177101002	gpos	-	-	-	-
5	q	35.3	-	-	177101002	181539261	gneg	-	-	-	-
6	p	25.3	-	-	1002	2301002	gneg	-	-	-	-
6	p	25.2	-	-	2301002	4201002	gpos	-	-	-	-
6	p	25.1	-	-	4201002	7101002	gneg	-	-	-	-
6	p	24.3	-	-	7101002	10601002	gpos	-	-	-	-
6	p	24.2	-	-	10601002	11601002	gneg	-	-	-	-
6	p	24.1	-	-	11601002	13401002	gpos	-	-	-	-
6	p	23	-	-	13401002	15201002	gneg	-	-	-	-
6	p	22.3	-	-	15201002	25201002	gpos	-	-	-	-
6	p	22.2	-	-	25201002	27101002	gneg	-	-	-	-
6	p	22.1	-	-	27101002	30501002	gpos	-	-	-	-
6	p	21.33	-	-	30501002	32101002	gneg	-	-	-	-
6	p	21.32	-	-	32101002	33501002	gpos	-	-	-	-
6	p	21.31	-	-	33501002	36601002	gneg	-	-	-	-
6	p	21.2	-	-	36601002	40501002	gpos	-	-	-	-
6	p	21.1	-	-	40501002	46201002	gneg	-	-	-	-
6	p	12.3	-	-	46201002	51801002	gpos	-	-	-	-
6	p	12.2	-	-	51801002	53001002	gneg	-	-	-	-
6	p	12.1	-	-	53001002	57201002	gpos	-	-	-	-
6	p	11.2	-	-	57201002	58501002	gneg	-	-	-	-
6	p	11.1	-	-	58501002	59801002	acen	-	-	-	-
6	q	11.1	-	-	59801002	62601002	acen	-	-	-	-
6	q	11.2	-	-	62601002	62701002	gneg	-	-	-	-
6	q	12	-	-	62701002	69201002	gpos	-	-	-	-
6	q	13	-	-	69201002	75201002	gneg	-	-	-	-
6	q	14.1	-	-	75201002	83201002	gpos	-	-	-	-
6	q	14.2	-	-	83201002	84201002	gneg	-	-	-	-
6	q	14.3	-	-	84201002	87301002	gpos	-	-	-	-
6	q	15	-	-	87301002	92501002	gneg	-	-	-	-
6	q	16.1	-	-	92501002	98901002	gpos	-	-	-	-
6	q	16.2	-	-	98901002	100001002	gneg	-	-	-	-
6	q	16.3	-	-	100001002	105001002	gpos	-	-	-	-
6	q	21	-	-	105001002	114201002	gneg	-	-	-	-
6	q	22.1	-	-	114201002	117901002	gpos	-	-	-	-
6	q	22.2	-	-	117901002	118101002	gneg	-	-	-	-
6	q	22.31	-	-	118101002	125801002	gpos	-	-	-	-
6	q	22.32	-	-	125801002	126801002	gneg	-	-	-	-
6	q	22.33	-	-	126801002	130001002	gpos	-	-	-	-
6	q	23.1	-	-	130001002	130901002	gneg	-	-	-	-
6	q	23.2	-	-	130901002	134701002	gpos	-	-	-	-
6	q	23.3	-	-	134701002	138301002	gneg	-	-	-	-
6	q	24.1	-	-	138301002	142201002	gpos	-	-	-	-
6	q	24.2	-	-	142201002	145101002	gneg	-	-	-	-
6	q	24.3	-	-	145101002	148501002	gpos	-	-	-	-
6	q	25.1	-	-	148501002	152101002	gneg	-	-	-	-
6	q	25.2	-	-	152101002	155201002	gpos	-	-	-	-
6	q	25.3	-	-	155201002	160601002	gneg	-	-	-	-
6	q	26	-	-	160601002	164101002	gpos	-	-	-	-
6	q	27	-	-	164101002	170806981	gneg	-	-	-	-
7	p	22.3	-	-	1002	2801002	gneg	-	-	-	-
7	p	22.2	-	-	2801002	4501002	gpos	-	-	-	-
7	p	22.1	-	-	4501002	7201002	gneg	-	-	-	-
7	p	21.3	-	-	7201002	13701002	gpos	-	-	-	-
7	p	21.2	-	-	13701002	16501002	gneg	-	-	-	-
7	p	21.1	-	-	16501002	20901002	gpos	-	-	-	-
7	p	15.3	-	-	20901002	25501002	gneg	-	-	-	-
7	p	15.2	-	-	25501002	27901002	gpos	-	-	-	-
7	p	15.1	-	-	27901002	28801002	gneg	-	-	-	-
7	p	14.3	-	-	28801002	34901002	gpos	-	-	-	-
7	p	14.2	-	-	34901002	37101002	gneg	-	-	-	-
7	p	14.1	-	-	37101002	43301002	gpos	-	-	-	-
7	p	13	-	-	43301002	45401002	gneg	-	-	-	-
7	p	12.3	-	-	45401002	49001002	gpos	-	-	-	-
7	p	12.2	-	-	49001002	50501002	gneg	-	-	-	-
7	p	12.1	-	-	50501002	53901002	gpos	-	-	-	-
7	p	11.2	-	-	53901002	58101002	gneg	-	-	-	-
7	p	11.1	-	-	58101002	60101002	acen	-	-	-	-
7	q	11.1	-	-	60101002	62101002	acen	-	-	-	-
7	q	11.21	-	-	62101002	67501002	gneg	-	-	-	-
7	q	11.22	-	-	67501002	72701002	gpos	-	-	-	-
7	q	11.23	-	-	72701002	77901002	gneg	-	-	-	-
7	q	21.11	-	-	77901002	86701002	gpos	-	-	-	-
7	q	21.12	-	-	86701002	88501002	gneg	-	-	-	-
7	q	21.13	-	-	88501002	91501002	gpos	-	-	-	-
7	q	21.2	-	-	91501002	93301002	gneg	-	-	-	-
7	q	21.3	-	-	93301002	98401002	gpos	-	-	-	-
7	q	22.1	-	-	98401002	104201002	gneg	-	-	-	-
7	q	22.2	-	-	104201002	104901002	gpos	-	-	-	-
7	q	22.3	-	-	104901002	107801002	gneg	-	-	-	-
7	q	31.1	-	-	107801002	115001002	gpos	-	-	-	-
7	q	31.2	-	-	115001002	117701002	gneg	-	-	-	-
7	q	31.31	-	-	117701002	121401002	gpos	-	-	-	-
7	q	31.32	-	-	121401002	124101002	gneg	-	-	-	-
7	q	31.33	-	-	124101002	127501002	gpos	-	-	-	-
7	q	32.1	-	-	127501002	129601002	gneg	-	-	-	-
7	q	32.2	-	-	129601002	130801002	gpos	-	-	-	-
7	q	32.3	-	-	130801002	132901002	gneg	-	-	-	-
7	q	33	-	-	132901002	138501002	gpos	-	-	-	-
7	q	34	-	-	138501002	143401002	gneg	-	-	-	-
7	q	35	-	-	143401002	148201002	gpos	-	-	-	-
7	q	36.1	-	-	148201002	152801002	gneg	-	-	-	-
7	q	36.2	-	-	152801002	155201002	gpos	-	-	-	-
7	q	36.3	-	-	155201002	159346975	gneg	-	-	-	-
8	p	23.3	-	-	1002	2301002	gneg	-	-	-	-
8	p	23.2	-	-	2301002	6301002	gpos	-	-	-	-
8	p	23.1	-	-	6301002	12801002	gneg	-	-	-	-
8	p	22	-	-	12801002	19201002	gpos	-	-	-	-
8	p	21.3	-	-	19201002	23501002	gneg	-	-	-	-
8	p	21.2	-	-	23501002	27501002	gpos	-	-	-	-
8	p	21.1	-	-	27501002	29001002	gneg	-	-	-	-
8	p	12	-	-	29001002	36701002	gpos	-	-	-	-
8	p	11.23	-	-	36701002	38501002	gneg	-	-	-	-
8	p	11.22	-	-	38501002	39901002	gpos	-	-	-	-
8	p	11.21	-	-	39901002	43201002	gneg	-	-	-	-
8	p	11.1	-	-	43201002	45201002	acen	-	-	-	-
8	q	11.1	-	-	45201002	47201002	acen	-	-	-	-
8	q	11.21	-	-	47201002	51301002	gneg	-	-	-	-
8	q	11.22	-	-	51301002	51701002	gpos	-	-	-	-
8	q	11.23	-	-	51701002	54601002	gneg	-	-	-	-
8	q	12.1	-	-	54601002	60601002	gpos	-	-	-	-
8	q	12.2	-	-	60601002	61301002	gneg	-	-	-	-
8	q	12.3	-	-	61301002	65101002	gpos	-	-	-	-
8	q	13.1	-	-	65101002	67101002	gneg	-	-	-	-
8	q	13.2	-	-	67101002	69601002	gpos	-	-	-	-
8	q	13.3	-	-	69601002	72001002	gneg	-	-	-	-
8	q	21.11	-	-	72001002	74601002	gpos	-	-	-	-
8	q	21.12	-	-	74601002	74701002	gneg	-	-	-	-
8	q	21.13	-	-	74701002	83501002	gpos	-	-	-	-
8	q	21.2	-	-	83501002	85901002	gneg	-	-	-	-
8	q	21.3	-	-	85901002	92301002	gpos	-	-	-	-
8	q	22.1	-	-	92301002	97901002	gneg	-	-	-	-
8	q	22.2	-	-	97901002	100501002	gpos	-	-	-	-
8	q	22.3	-	-	100501002	105101002	gneg	-	-	-	-
8	q	23.1	-	-	105101002	109501002	gpos	-	-	-	-
8	q	23.2	-	-	109501002	111101002	gneg	-	-	-	-
8	q	23.3	-	-	111101002	116701002	gpos	-	-	-	-
8	q	24.11	-	-	116701002	118301002	gneg	-	-	-	-
8	q	24.12	-	-	118301002	121501002	gpos	-	-	-	-
8	q	24.13	-	-	121501002	126301002	gneg	-	-	-	-
8	q	24.21	-	-	126301002	130401002	gpos	-	-	-	-
8	q	24.22	-	-	130401002	135401002	gneg	-	-	-	-
8	q	24.23	-	-	135401002	138901002	gpos	-	-	-	-
8	q	24.3	-	-	138901002	145139638	gneg	-	-	-	-
9	p	24.3	-	-	1002	2201002	gneg	-	-	-	-
9	p	24.2	-	-	2201002	4601002	gpos	-	-	-	-
9	p	24.1	-	-	4601002	9001002	gneg	-	-	-	-
9	p	23	-	-	9001002	14201002	gpos	-	-	-	-
9	p	22.3	-	-	14201002	16601002	gneg	-	-	-	-
9	p	22.2	-	-	16601002	18501002	gpos	-	-	-	-
9	p	22.1	-	-	18501002	19901002	gneg	-	-	-	-
9	p	21.3	-	-	19901002	25601002	gpos	-	-	-	-
9	p	21.2	-	-	25601002	28001002	gneg	-	-	-	-
9	p	21.1	-	-	28001002	33201002	gpos	-	-	-	-
9	p	13.3	-	-	33201002	36301002	gneg	-	-	-	-
9	p	13.2	-	-	36301002	37901002	gpos	-	-	-	-
9	p	13.1	-	-	37901002	39001002	gneg	-	-	-	-
9	p	12	-	-	39001002	40001002	gpos	-	-	-	-
9	p	11.2	-	-	40001002	42201002	gneg	-	-	-	-
9	p	11.1	-	-	42201002	43001002	acen	-	-	-	-
9	q	11	-	-	43001002	45501002	acen	-	-	-	-
9	q	12	-	-	45501002	61501002	gvar	-	-	-	-
9	q	13	-	-	61501002	65001002	gneg	-	-	-	-
9	q	21.11	-	-	65001002	69301002	gpos	-	-	-	-
9	q	21.12	-	-	69301002	71301002	gneg	-	-	-	-
9	q	21.13	-	-	71301002	76601002	gpos	-	-	-	-
9	q	21.2	-	-	76601002	78501002	gneg	-	-	-	-
9	q	21.31	-	-	78501002	81501002	gpos	-	-	-	-
9	q	21.32	-	-	81501002	84301002	gneg	-	-	-	-
9	q	21.33	-	-	84301002	87801002	gpos	-	-	-	-
9	q	22.1	-	-	87801002	89201002	gneg	-	-	-	-
